"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img";"Маркировки на рулоне:"
"311035";"Zoffany";"Lexington";"Англия";"Васильковые, Шоколадные, Венге";"Бумажные";"Бумага";"0,68, Узкие";"10,05";"Горизонтальная полоска";"1500";"Рулон";"/upload/resize_cache/iblock/d25/480_480_240cd750bba9870f18aada2478b24840a/d254d2ab4456f90d611b3e22bf2c1169.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />
<img src=""/images/icons/akkuratnaya-vlajnaya-ochistka.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329663"" aria-describedby=""tooltip-329663"" title=""Аккуратная влажная очистка
"" data-title=""Аккуратная влажная очистка
"" />
<img src=""/images/icons/nanesenie-kleya-na-oboi.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329673"" aria-describedby=""tooltip-329673"" title=""Нанесение клея на обои
"" data-title=""Нанесение клея на обои
"" />
<img src=""/images/icons/udalenie-polosami-v-suhom-vide.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329675"" aria-describedby=""tooltip-329675"" title=""Удаление полосами в сухом виду
"" data-title=""Удаление полосами в сухом виду
"" />"
"311038";"Zoffany";"Lexington";"Англия";"Лимонные, Горчичные, Желтые";"Бумажные";"Бумага";"0,68, Узкие";"10,05";"Дамаск";"2500";"Рулон";"/upload/resize_cache/iblock/39d/480_480_240cd750bba9870f18aada2478b24840a/39d9758baa9cc7529007e1784a2a6e70.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />
<img src=""/images/icons/akkuratnaya-vlajnaya-ochistka.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329663"" aria-describedby=""tooltip-329663"" title=""Аккуратная влажная очистка
"" data-title=""Аккуратная влажная очистка
"" />
<img src=""/images/icons/nanesenie-kleya-na-oboi.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329673"" aria-describedby=""tooltip-329673"" title=""Нанесение клея на обои
"" data-title=""Нанесение клея на обои
"" />
<img src=""/images/icons/udalenie-polosami-v-suhom-vide.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329675"" aria-describedby=""tooltip-329675"" title=""Удаление полосами в сухом виду
"" data-title=""Удаление полосами в сухом виду
"" />"
"341322";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/234/480_480_240cd750bba9870f18aada2478b24840a/234178b97c9a93cc4211aabb3ce83f5a.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
"341320";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/43f/480_462_240cd750bba9870f18aada2478b24840a/43f1089c6a9c51fc18ef33023bd09bfb.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
"341331";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/5fc/480_480_240cd750bba9870f18aada2478b24840a/5fc06ff9687d405d86689ec47a03dbcc.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
"341342";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/05a/480_480_240cd750bba9870f18aada2478b24840a/05a260e09e3009ff3802beba20e5d35d.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
"341340";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/3f8/480_480_240cd750bba9870f18aada2478b24840a/3f89878369f30ec4eece1411add26be5.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
"341351";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/fa4/480_480_240cd750bba9870f18aada2478b24840a/fa42c18987f498d557dd0ce2983ea62e.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
"341352";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/229/480_480_240cd750bba9870f18aada2478b24840a/22964ec3a14fc23d90fc1dbdce231876.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
"341362";"Eijffinger";"Tribute";"Нидерланды";;;;;;;;"Рулон";"/upload/resize_cache/iblock/d46/480_480_240cd750bba9870f18aada2478b24840a/d46b144918d42ebfd861ea18988eaf49.png";"<img src=""/images/icons/visokaya-svetoustoichivost.svg"" data-tooltip="""" aria-haspopup=""true"" data-selector=""tooltip-329669"" aria-describedby=""tooltip-329669"" title=""Очень хорошая устои?чивость к свету
"" data-title=""Очень хорошая устои?чивость к свету
"" />"
