"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"EM-17023";"Decoprint NV";"Emporia";"Бельгия";"Лавандовые, Голубые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/30d/480_480_240cd750bba9870f18aada2478b24840a/30d27afdb194126839e2ce4a66685a3c.png"
"EM-17033";"Decoprint NV";"Emporia";"Бельгия";"Голубые, Лавандовые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Дамаск";"3900";"Рулон";"/upload/resize_cache/iblock/e81/480_480_240cd750bba9870f18aada2478b24840a/e81f5a2ea514137412f7ec7d4f26b7d8.png"
"EM-17034";"Decoprint NV";"Emporia";"Бельгия";"Кофейные, Фиолетовые, Терракотовые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Дамаск";"3900";"Рулон";"/upload/resize_cache/iblock/ffe/480_480_240cd750bba9870f18aada2478b24840a/ffeaa8e8f29e41eed66f90fe7f20d4da.png"
"EM-17035";"Decoprint NV";"Emporia";"Бельгия";"Венге, Бронзовые, Шоколадные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Дамаск";"3900";"Рулон";"/upload/resize_cache/iblock/aba/480_480_240cd750bba9870f18aada2478b24840a/abae2a40bca59fd097ace782c888494e.png"
"EM-17038";"Decoprint NV";"Emporia";"Бельгия";"Кремовые, Песочные, Жемчужные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Дамаск";"3900";"Рулон";"/upload/resize_cache/iblock/eab/480_480_240cd750bba9870f18aada2478b24840a/eab760bb1c6e9d2f4354dc4e0d859324.png"
"EM-17036";"Decoprint NV";"Emporia";"Бельгия";"Бордовые, Кофейные, Малиновые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Дамаск";"3900";"Рулон";"/upload/resize_cache/iblock/599/480_480_240cd750bba9870f18aada2478b24840a/599fafc0fdc10add4177660d2ba6babc.png"
"EM-17042";"Decoprint NV";"Emporia";"Бельгия";"Белые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Абстракция, Волны";"3900";"Рулон";"/upload/resize_cache/iblock/c42/480_480_240cd750bba9870f18aada2478b24840a/c42a47ab9908b8b494bde6912cd2a742.png"
"EM-17041";"Decoprint NV";"Emporia";"Бельгия";"Жемчужные, Ванильные, Песочные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Абстракция, Волны";"3900";"Рулон";"/upload/resize_cache/iblock/eb1/480_480_240cd750bba9870f18aada2478b24840a/eb17783f33a4e06c6a4a2e0b41f45c26.png"
"EM-17045";"Decoprint NV";"Emporia";"Бельгия";"Кофейные, Бронзовые, Венге";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Абстракция, Волны";"3900";"Рулон";"/upload/resize_cache/iblock/efc/480_480_240cd750bba9870f18aada2478b24840a/efc77810a67310766bf61f4140655db0.png"
"EM-17044";"Decoprint NV";"Emporia";"Бельгия";"Сливовые, Фиалковые, Сиреневые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Абстракция, Волны";"3900";"Рулон";"/upload/resize_cache/iblock/539/480_480_240cd750bba9870f18aada2478b24840a/539040fd5241e76222b4cec751a7648a.png"
"EM-17043";"Decoprint NV";"Emporia";"Бельгия";"Песочные, Ванильные, Жемчужные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Абстракция, Волны";"3900";"Рулон";"/upload/resize_cache/iblock/b52/480_480_240cd750bba9870f18aada2478b24840a/b5280347e339b31ce7d567605dfe0b7e.png"
"EM-17051";"Decoprint NV";"Emporia";"Бельгия";"Белые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"3900";"Рулон";"/upload/resize_cache/iblock/67a/480_480_240cd750bba9870f18aada2478b24840a/67a2b07ebc7c1e99c31d2626fdbe4f42.png"
"EM-17053";"Decoprint NV";"Emporia";"Бельгия";"Синие, Лазурные, Васильковые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Восточный орнамент";"3900";"Рулон";"/upload/resize_cache/iblock/763/480_480_240cd750bba9870f18aada2478b24840a/76393e2ff03ef5baf77446479d15c01b.png"
"EM-17055";"Decoprint NV";"Emporia";"Бельгия";"Кофейные, Бронзовые, Шоколадные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"3900";"Рулон";"/upload/resize_cache/iblock/f5c/480_480_240cd750bba9870f18aada2478b24840a/f5c66a641324e1c9ae26e1ad054b245b.png"
"EM-17052";"Decoprint NV";"Emporia";"Бельгия";"Серые, Серебристые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"3900";"Рулон";"/upload/resize_cache/iblock/729/480_480_240cd750bba9870f18aada2478b24840a/72980640e78501fbf1c479bf319988ab.png"
"EM-17054";"Decoprint NV";"Emporia";"Бельгия";"Синие, Васильковые, Лазурные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Восточный орнамент";"3900";"Рулон";"/upload/resize_cache/iblock/be1/480_480_240cd750bba9870f18aada2478b24840a/be15424940ab3d0c3baf18ffbef4aeab.png"
"EM-17062";"Decoprint NV";"Emporia";"Бельгия";"Терракотовые, Венге, Бронзовые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Перья";"3900";"Рулон";"/upload/resize_cache/iblock/3b6/480_480_240cd750bba9870f18aada2478b24840a/3b6bc09714f2e0fe6b3cab26928c7d43.png"
"EM-17056";"Decoprint NV";"Emporia";"Бельгия";"Бежевые, Ванильные, Кремовые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"3900";"Рулон";"/upload/resize_cache/iblock/50e/480_480_240cd750bba9870f18aada2478b24840a/50e5dfed926ba1b145376b65e04b5f85.png"
"EM-17061";"Decoprint NV";"Emporia";"Бельгия";"Ванильные, Жемчужные, Бежевые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Перья";"3900";"Рулон";"/upload/resize_cache/iblock/d76/480_480_240cd750bba9870f18aada2478b24840a/d76df59bc385a77d38e85b1c2a09bb71.png"
"EM-17063";"Decoprint NV";"Emporia";"Бельгия";"Вишнёвые, Красные, Алые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Перья";"3900";"Рулон";"/upload/resize_cache/iblock/81d/480_480_240cd750bba9870f18aada2478b24840a/81d116b9fb1be03dbbd2c387a05aa2d0.png"
"EM-17064";"Decoprint NV";"Emporia";"Бельгия";"Коричневые, Бронзовые, Кофейные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Перья";"3900";"Рулон";"/upload/resize_cache/iblock/30d/480_480_240cd750bba9870f18aada2478b24840a/30dd487d7bc9b33d08772b86339066e4.png"
"EM-17071";"Decoprint NV";"Emporia";"Бельгия";"Белые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/256/480_480_240cd750bba9870f18aada2478b24840a/256ecd89462fbf2e66f8d46489c0e553.png"
"EM-17074";"Decoprint NV";"Emporia";"Бельгия";"Фиолетовые, Бронзовые, Коричневые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/785/480_480_240cd750bba9870f18aada2478b24840a/785afc571f10aa3fdefa7e6a68208577.png"
"EM-17065";"Decoprint NV";"Emporia";"Бельгия";"Кофейные, Синие, Лазурные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Перья";"3900";"Рулон";"/upload/resize_cache/iblock/868/480_480_240cd750bba9870f18aada2478b24840a/8683aa0339d1726ed8cbc89a99d2faa7.png"
"EM-17073";"Decoprint NV";"Emporia";"Бельгия";"Серебристые, Серые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/496/480_480_240cd750bba9870f18aada2478b24840a/49617ba757d6035340fbe1e5f153495b.png"
"EM-17072";"Decoprint NV";"Emporia";"Бельгия";"Кремовые, Песочные, Бежевые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/087/480_480_240cd750bba9870f18aada2478b24840a/0875d32089c73cb73b9dbcfb77a26f67.png"
"EM-17075";"Decoprint NV";"Emporia";"Бельгия";"Белые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/063/480_480_240cd750bba9870f18aada2478b24840a/063f809801569ced3035cc51cf1c0e90.png"
"EM-17078";"Decoprint NV";"Emporia";"Бельгия";"Бежевые, Жемчужные, Ванильные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/6d8/480_480_240cd750bba9870f18aada2478b24840a/6d8123f18d0622507906d43046b99d07.png"
"EM-17077";"Decoprint NV";"Emporia";"Бельгия";"Синие, Лазурные, Васильковые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Растительность";"3900";"Рулон";"/upload/resize_cache/iblock/882/480_480_240cd750bba9870f18aada2478b24840a/882173699d30732741532a305085a3ac.png"
"EM-17081";"Decoprint NV";"Emporia";"Бельгия";"Кофейные, Вишнёвые, Коричневые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Архитектура, Восточный орнамент";"2500";"Рулон";"/upload/resize_cache/iblock/0a4/480_480_240cd750bba9870f18aada2478b24840a/0a41340ff70a4025f68d1c0eaf945436.png"
"EM-17082";"Decoprint NV";"Emporia";"Бельгия";"Жемчужные, Кремовые, Песочные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Архитектура, Восточный орнамент";"1500";"Рулон";"/upload/resize_cache/iblock/8f0/480_480_240cd750bba9870f18aada2478b24840a/8f0f384f5d16a86c81cbe06306240fc1.png"
"EM-17083";"Decoprint NV";"Emporia";"Бельгия";"Лавандовые, Голубые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Архитектура, Восточный орнамент";"2500";"Рулон";"/upload/resize_cache/iblock/af1/480_480_240cd750bba9870f18aada2478b24840a/af15a656330ff9a7ecc0800017a73644.png"
"EM-17084";"Decoprint NV";"Emporia";"Бельгия";"Коричневые, Лазурные, Бронзовые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Архитектура, Восточный орнамент";"1500";"Рулон";"/upload/resize_cache/iblock/c9e/480_480_240cd750bba9870f18aada2478b24840a/c9e4d0e03a4385084ac17384c6e84391.png"
"EM3802";"York";"Shimmering Topaz";"США";"Морская волна, Шоколадные, Кофейные";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/876/480_480_240cd750bba9870f18aada2478b24840a/87669970184206c1e34dd3fa7daad683.png"
"EM3801";"York";"Shimmering Topaz";"США";"Песочные, Терракотовые, Венге";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/14c/480_480_240cd750bba9870f18aada2478b24840a/14c54fe96ddda08abd1923240845a083.png"
"EM3800";"York";"Shimmering Topaz";"США";"Жемчужные, Лимонные, Ванильные";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"2500";"Рулон";"/upload/resize_cache/iblock/e2b/480_480_240cd750bba9870f18aada2478b24840a/e2b1011b2e83ea7e850db772ed27053f.png"
"EM3809";"York";"Shimmering Topaz";"США";"Кофейные, Бронзовые, Ванильные";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/0d6/480_480_240cd750bba9870f18aada2478b24840a/0d605a7894d042712e1a171c0523f0ba.png"
"EM3803";"York";"Shimmering Topaz";"США";"Бронзовые, Оливковые, Фисташковые";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/26a/480_480_240cd750bba9870f18aada2478b24840a/26afb5015f9eac2e4797b7b924b1cc60.png"
"EM3808";"York";"Shimmering Topaz";"США";"Желтые, Лимонные, Белые";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/492/480_480_240cd750bba9870f18aada2478b24840a/492b37bd1614fe3b0e162c3ac62eceda.png"
"EM3806";"York";"Shimmering Topaz";"США";"Терракотовые, Коралловые, Кофейные";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/174/480_480_240cd750bba9870f18aada2478b24840a/174bb5aaac36119865e28d47fd40dd30.png"
"EM3804";"York";"Shimmering Topaz";"США";"Бежевые, Жемчужные, Васильковые";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"1500";"Рулон";"/upload/resize_cache/iblock/6ed/480_480_240cd750bba9870f18aada2478b24840a/6edd8b0061feab7d107970d7657a594f.png"
