"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"20854";"Sirpi";"Altagamma Home 2";"Италия";"Кремовые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Полоска";"1500";"Рулон";"/upload/resize_cache/iblock/541/480_480_240cd750bba9870f18aada2478b24840a/541798c5dd799394665299494e5a183f.jpg"
"20853";"Sirpi";"Altagamma Home 2";"Италия";"Зелёные, Фисташковые, Серебристые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Полоска";"3276";"Рулон";"/upload/resize_cache/iblock/f2a/480_480_240cd750bba9870f18aada2478b24840a/f2af7e12c986254a2be784b1bdb5ba61.jpg"
"20855";"Sirpi";"Altagamma Home 2";"Италия";"Песочные, Ванильные, Терракотовые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Вертикальная полоска, Под ткань, Полоска";"1500";"Рулон";"/upload/resize_cache/iblock/3b1/480_480_240cd750bba9870f18aada2478b24840a/3b17fc3cd33702c90ad03911c45ea821.jpg"
"208-56 2";"SandBerg";"Rydal";"Швеция";"Голубые, Бронзовые, Коричневые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Клетка, Под ткань";"6552";"Рулон";"/upload/resize_cache/iblock/663/480_480_240cd750bba9870f18aada2478b24840a/6639be548953f7a40264fe2f6b890344.png"
"208-59 2";"SandBerg";"Rydal";"Швеция";"Серебристые, Коричневые, Бронзовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Клетка, Под ткань";"6552";"Рулон";"/upload/resize_cache/iblock/e58/480_480_240cd750bba9870f18aada2478b24840a/e58bf0d96de706a351e3b2ddd8491051.png"
"20860";"Sirpi";"Altagamma Home 2";"Италия";"Бронзовые, Коричневые, Терракотовые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Под ткань";"1500";"Рулон";"/upload/resize_cache/iblock/6b5/480_480_240cd750bba9870f18aada2478b24840a/6b569f9f3f2c4e61aac56ec26d07f054.jpg"
"20856";"Sirpi";"Altagamma Home 2";"Италия";"Венге, Шоколадные, Серебристые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Вертикальная полоска, Под ткань, Полоска";"390";"Рулон";"/upload/resize_cache/iblock/06c/480_480_240cd750bba9870f18aada2478b24840a/06caa6b764c5a472d4963689f1d2cca1.jpg"
"20861";"Sirpi";"Altagamma Home 2";"Италия";"Кремовые, Ванильные, Жемчужные";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"390";"Рулон";"/upload/resize_cache/iblock/023/480_480_240cd750bba9870f18aada2478b24840a/023b5488a930f40a5ecd3de1edc5a95c.jpg"
"20864";"Sirpi";"Altagamma Home 2";"Италия";"Серебристые, Белые, Серые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"1500";"Рулон";"/upload/resize_cache/iblock/c82/480_480_240cd750bba9870f18aada2478b24840a/c8254f62eca8063422840f393adf8fa2.jpg"
"20862";"Sirpi";"Altagamma Home 2";"Италия";"Жемчужные, Бежевые, Ванильные";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2500";"Рулон";"/upload/resize_cache/iblock/207/480_480_240cd750bba9870f18aada2478b24840a/2072f31abdd5835a3d0bcfddaa1ea09b.jpg"
"20865";"Sirpi";"Altagamma Home 2";"Италия";"Серебристые, Серые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Под ткань";"1500";"Рулон";"/upload/resize_cache/iblock/65d/480_480_240cd750bba9870f18aada2478b24840a/65dd86c284486a07e3f9b932e08475c2.jpg"
"20866";"Sirpi";"Altagamma Home 2";"Италия";"Серые, Серебристые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Под ткань";"2500";"Рулон";"/upload/resize_cache/iblock/850/480_480_240cd750bba9870f18aada2478b24840a/850922094fea213929259110665fd5a9.jpg"
