"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"8644-403";"ProSpero";"Jolie";"Италия";"Кремовые, Жемчужные, Бежевые";"Текстильные";;"2,95";"1";"Вертикальная полоска, Орнамент, Полоска, Узор, Цветы";"25200";"Пог.м.";"/upload/resize_cache/iblock/a18/480_480_240cd750bba9870f18aada2478b24840a/a18ef9392e5de0b845f120c5722db597.jpg"
"8644-406";"ProSpero";"Jolie";"Италия";"Песочные, Золотые, Желтые";"Текстильные";;"2,95";"1";"Вертикальная полоска, Орнамент, Полоска, Узор, Цветы";"8148";"Пог.м.";"/upload/resize_cache/iblock/2eb/480_480_240cd750bba9870f18aada2478b24840a/2ebcce18d2c172efa3e60e36f318a905.jpg"
"8644-409";"ProSpero";"Jolie";"Италия";"Бежевые, Жемчужные, Золотые";"Текстильные";;"2,95";"1";"Вертикальная полоска, Орнамент, Полоска, Узор, Цветы";"5544";"Пог.м.";"/upload/resize_cache/iblock/40f/480_480_240cd750bba9870f18aada2478b24840a/40fd493cc2d66efdf053bd68a866cc30.jpg"
"8644-404";"ProSpero";"Jolie";"Италия";"Горчичные, Песочные, Лимонные";"Текстильные";;"2,95";"1";"Вертикальная полоска, Орнамент, Полоска, Узор, Цветы";"1702";"Пог.м.";"/upload/resize_cache/iblock/8c5/480_480_240cd750bba9870f18aada2478b24840a/8c5b94d1fb04b0824f626bf4218614fa.jpg"
"8644-405";"ProSpero";"Jolie";"Италия";"Розовые, Кремовые, Бежевые";"Текстильные";;"2,95";"1";"Вертикальная полоска, Орнамент, Полоска, Узор, Цветы";"1702";"Пог.м.";"/upload/resize_cache/iblock/b1f/480_480_240cd750bba9870f18aada2478b24840a/b1f72465b4b9a797e47f35be17f86d48.jpg"
"8644-901";"ProSpero";"Jolie";"Италия";"Кремовые, Ванильные, Серые";"Текстильные";;"2,95";"1";"Вертикальная полоска, Орнамент, Полоска, Узор, Цветы";"25200";"Пог.м.";"/upload/resize_cache/iblock/99a/480_480_240cd750bba9870f18aada2478b24840a/99a8708220944ec2839f466edf312344.jpg"
"8646-401";"ProSpero";"Jolie";"Италия";"Шоколадные, Бронзовые, Кремовые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"8232";"Пог.м.";"/upload/resize_cache/iblock/6e2/480_480_240cd750bba9870f18aada2478b24840a/6e2d39d1d40b00574670fa4fc8f3c393.jpg"
"8646-402";"ProSpero";"Jolie";"Италия";"Ванильные, Песочные, Оливковые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"13290";"Пог.м.";"/upload/resize_cache/iblock/2a7/480_480_240cd750bba9870f18aada2478b24840a/2a76fa9a48a88aaffc51064498657910.jpg"
"8646-403";"ProSpero";"Jolie";"Италия";"Кремовые, Ванильные, Песочные";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"7224";"Пог.м.";"/upload/resize_cache/iblock/ee8/480_480_240cd750bba9870f18aada2478b24840a/ee8ab4c4fabb17b3a766b70aa6f87b04.jpg"
"8646-405";"ProSpero";"Jolie";"Италия";"Ванильные, Песочные, Лимонные";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"8232";"Пог.м.";"/upload/resize_cache/iblock/c5f/480_480_240cd750bba9870f18aada2478b24840a/c5f7c7b89568a2df7c47a02fa3bfe28a.jpg"
"8646-404";"ProSpero";"Jolie";"Италия";"Лавандовые, Ванильные, Кремовые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"25200";"Пог.м.";"/upload/resize_cache/iblock/f9b/480_480_240cd750bba9870f18aada2478b24840a/f9b28e11725e6675625560cb77072742.jpg"
"8646-406";"ProSpero";"Jolie";"Италия";"Лиловые, Жемчужные, Розовые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"2940";"Пог.м.";"/upload/resize_cache/iblock/da8/480_480_240cd750bba9870f18aada2478b24840a/da825a8144e82ffaba8817a285bb620a.jpg"
"8651/802";"ProSpero";"Floreale";"Италия";"Разноцветные";"Текстильные";;"2,95";"1";"Цветы";"25200";"Пог.м.";"/upload/resize_cache/iblock/195/480_480_240cd750bba9870f18aada2478b24840a/1950b740dc3f286434088803b5d56eaf.png"
"8646-901";"ProSpero";"Jolie";"Италия";"Песочные, Жемчужные, Бежевые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"25200";"Пог.м.";"/upload/resize_cache/iblock/4ad/480_480_240cd750bba9870f18aada2478b24840a/4ad10760dbad068f0a459486b3b87835.jpg"
"8646-409";"ProSpero";"Jolie";"Италия";"Ванильные, Бежевые, Желтые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Узор";"10275";"Пог.м.";"/upload/resize_cache/iblock/4ff/480_480_240cd750bba9870f18aada2478b24840a/4ff8122c7f546eba8c0ca8ab464a12d0.jpg"
"8651/801";"ProSpero";"Floreale";"Италия";"Разноцветные";"Текстильные";;"2,95";"1";"Цветы";"4514";"Пог.м.";"/upload/resize_cache/iblock/0bd/480_480_240cd750bba9870f18aada2478b24840a/0bd6604ae9eeb9663059e2d266c8bded.png"
"8651/807";"ProSpero";"Floreale";"Италия";"Разноцветные";"Текстильные";;"2,95";"1";"Цветы";"6888";"Пог.м.";"/upload/resize_cache/iblock/335/480_480_240cd750bba9870f18aada2478b24840a/335e3d7d0535c460a181899f4595ceb3.png"
"8651/803";"ProSpero";"Floreale";"Италия";"Разноцветные";"Текстильные";;"2,95";"1";"Цветы";"2688";"Пог.м.";"/upload/resize_cache/iblock/7f0/480_480_240cd750bba9870f18aada2478b24840a/7f031f5b8d87cdd04401fa4f7b415a87.png"
"8651/804";"ProSpero";"Floreale";"Италия";"Ванильные, Горчичные, Лимонные";"Текстильные";;"2,95";"1";"Цветы";"4810";"Пог.м.";"/upload/resize_cache/iblock/968/480_480_240cd750bba9870f18aada2478b24840a/9681f841a16f6faad3090098c64d6fa6.png"
"8651/808";"ProSpero";"Floreale";"Италия";"Разноцветные";"Текстильные";;"2,95";"1";"Цветы";"23688";"Пог.м.";"/upload/resize_cache/iblock/025/480_480_240cd750bba9870f18aada2478b24840a/02519455b975b14b7a6edfcfd13ea7b2.png"
"8651/806";"ProSpero";"Floreale";"Италия";"Разноцветные";"Текстильные";;"2,95";"1";"Цветы";"4704";"Пог.м.";"/upload/resize_cache/iblock/318/480_480_240cd750bba9870f18aada2478b24840a/3188d3e7619c684e75036c110f8e31a9.png"
"8660-401";"ProSpero";"Jolie";"Италия";"Коричневые, Шоколадные, Венге";"Текстильные";;"2,95";"1";"Геометрия, Ромбы";"8232";"Пог.м.";"/upload/resize_cache/iblock/2c1/480_480_240cd750bba9870f18aada2478b24840a/2c109d04362a335e69ba327002291596.jpg"
"8660-404";"ProSpero";"Jolie";"Италия";"Жемчужные, Песочные, Бежевые";"Текстильные";;"2,95";"1";"Геометрия, Ромбы";"25200";"Пог.м.";"/upload/resize_cache/iblock/660/480_480_240cd750bba9870f18aada2478b24840a/660e9a6db8e1f9ca1cf0f3d786888c17.jpg"
"8660-402";"ProSpero";"Jolie";"Италия";"Салатовые, Песочные, Фисташковые";"Текстильные";;"2,95";"1";"Ромбы";"4704";"Пог.м.";"/upload/resize_cache/iblock/2f9/480_480_240cd750bba9870f18aada2478b24840a/2f94c4b06442a3c63d46685ca8986af4.jpg"
"8660-403";"ProSpero";"Jolie";"Италия";"Жемчужные, Бежевые, Кремовые";"Текстильные";;"2,95";"1";"Геометрия, Ромбы";"6636";"Пог.м.";"/upload/resize_cache/iblock/50a/480_480_240cd750bba9870f18aada2478b24840a/50a30ac837f125858af7bc439ac0cff2.jpg"
"8660-405";"ProSpero";"Jolie";"Италия";"Песочные, Желтые, Бежевые";"Текстильные";;"2,95";"1";"Ромбы";"6636";"Пог.м.";"/upload/resize_cache/iblock/b0a/480_480_240cd750bba9870f18aada2478b24840a/b0a996bf4e7c91302be8039f4b796c54.jpg"
"8660-406";"ProSpero";"Jolie";"Италия";"Бежевые, Розовые, Песочные";"Текстильные";;"2,95";"1";"Ромбы";"6384";"Пог.м.";"/upload/resize_cache/iblock/c53/480_480_240cd750bba9870f18aada2478b24840a/c53edcf44151d457596395af11fc2d05.jpg"
"8660-409";"ProSpero";"Jolie";"Италия";"Песочные, Шоколадные, Жемчужные";"Текстильные";;"2,95";"1";"Геометрия, Ромбы";"8568";"Пог.м.";"/upload/resize_cache/iblock/f6e/480_480_240cd750bba9870f18aada2478b24840a/f6e3a96e8c244625d576c060e01e8896.jpg"
"8661-403";"ProSpero";"Jolie";"Италия";"Жемчужные, Бежевые, Кремовые";"Текстильные";;"2,95";"1";"Орнамент, Ромбы";"3404";"Пог.м.";"/upload/resize_cache/iblock/237/480_480_240cd750bba9870f18aada2478b24840a/237aaeaf0d35fa41c5b66991b77f1482.jpg"
"8661-402";"ProSpero";"Jolie";"Италия";"Салатовые, Жемчужные, Фисташковые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Ромбы, Узор";"5544";"Пог.м.";"/upload/resize_cache/iblock/d36/480_480_240cd750bba9870f18aada2478b24840a/d360077e8f76a91494b1de665ceba3d7.jpg"
"8661-401";"ProSpero";"Jolie";"Италия";"Ванильные, Коричневые, Терракотовые";"Текстильные";;"2,95";"1";"Орнамент, Ромбы";"5712";"Пог.м.";"/upload/resize_cache/iblock/1ae/480_480_240cd750bba9870f18aada2478b24840a/1ae9b8abec1a9eb84b04dcd6c3571954.jpg"
"8660-901";"ProSpero";"Jolie";"Италия";"Серебристые, Песочные, Кремовые";"Текстильные";;"2,95";"1";"Ромбы";"2520";"Пог.м.";"/upload/resize_cache/iblock/166/480_480_240cd750bba9870f18aada2478b24840a/166c5285ce1023241ef9a23e28b722c2.jpg"
"8661-901";"ProSpero";"Jolie";"Италия";"Жемчужные, Бежевые, Ванильные";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Ромбы, Узор";"5544";"Пог.м.";"/upload/resize_cache/iblock/171/480_480_240cd750bba9870f18aada2478b24840a/171ffe090e7eae5f56600c3a7be506da.jpg"
"8661-404";"ProSpero";"Jolie";"Италия";"Песочные, Кремовые, Бежевые";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Ромбы, Узор";"7644";"Пог.м.";"/upload/resize_cache/iblock/7fc/480_480_240cd750bba9870f18aada2478b24840a/7fcda6267bf55f4a32c0ce93e41b8e53.jpg"
"8661-406";"ProSpero";"Jolie";"Италия";"Бежевые, Кремовые, Ванильные";"Текстильные";;"2,95";"1";"Орнамент, Ромбы";"7224";"Пог.м.";"/upload/resize_cache/iblock/532/480_480_240cd750bba9870f18aada2478b24840a/532120ce7a759322379c41cef61736ad.jpg"
"8661-409";"ProSpero";"Jolie";"Италия";"Желтые, Лимонные, Ванильные";"Текстильные";;"2,95";"1";"Орнамент, Растительность, Ромбы, Узор";"4070";"Пог.м.";"/upload/resize_cache/iblock/2c6/480_480_240cd750bba9870f18aada2478b24840a/2c61b16f143ba6fb59d530963dca9642.jpg"
"8661-405";"ProSpero";"Jolie";"Италия";"Золотые, Горчичные, Кремовые";"Текстильные";;"2,95";"1";"Орнамент, Ромбы";"25200";"Пог.м.";"/upload/resize_cache/iblock/573/480_480_240cd750bba9870f18aada2478b24840a/5735bdaad19b3bfa087eb1f174c63af3.jpg"
"8668/1";"Sangiorgio";"Romeo & Giulietta";"Италия";"Коричневые, Терракотовые, Кофейные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Цветы";"6490";"Рулон";"/upload/resize_cache/iblock/346/480_480_240cd750bba9870f18aada2478b24840a/3465f59366ca91769fe999bb41c93a16.png"
"8668/2";"Sangiorgio";"Romeo & Giulietta";"Италия";"Фиолетовые, Кремовые, Бежевые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Цветы";"1500";"Рулон";"/upload/resize_cache/iblock/fc7/480_480_240cd750bba9870f18aada2478b24840a/fc719006a2eebc74f0d44f604d966f70.png"
"8668/3";"Sangiorgio";"Romeo & Giulietta";"Италия";"Красные, Алые, Оранжевые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Цветы";"1500";"Рулон";"/upload/resize_cache/iblock/849/480_480_240cd750bba9870f18aada2478b24840a/849434c4e7ba9cb3efc3dffe141b5df7.png"
"8668/5";"Sangiorgio";"Romeo & Giulietta";"Италия";"Жемчужные, Венге, Шоколадные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Цветы";"2500";"Рулон";"/upload/resize_cache/iblock/e7d/480_480_240cd750bba9870f18aada2478b24840a/e7d95316279b1b69cf42eb1dc4c333ac.png"
"8668/4";"Sangiorgio";"Romeo & Giulietta";"Италия";"Васильковые, Кремовые, Венге";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Цветы";"390";"Рулон";"/upload/resize_cache/iblock/024/480_480_240cd750bba9870f18aada2478b24840a/02423da67e6813a544ccf67cdbad5c59.png"
"8670/18";"Sangiorgio";"Romeo & Giulietta";"Италия";"Серебристые, Васильковые, Голубые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/638/480_480_240cd750bba9870f18aada2478b24840a/6386a2091961d8c77603f0a0f2e21b34.png"
"8670/22";"Sangiorgio";"Romeo & Giulietta";"Италия";"Кремовые, Сливовые, Фисташковые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"1500";"Рулон";"/upload/resize_cache/iblock/1fd/480_480_240cd750bba9870f18aada2478b24840a/1fd96fff237aae003954f54cbd5e4a0c.png"
"8680/18";"Sangiorgio";"Romeo & Giulietta";"Италия";"Бежевые, Лавандовые, Кремовые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Лилии, Орнамент, Узор";"390";"Рулон";"/upload/resize_cache/iblock/559/480_480_240cd750bba9870f18aada2478b24840a/559b125885717c61d7ecb7a87c282afc.png"
"8670/20";"Sangiorgio";"Romeo & Giulietta";"Италия";"Лиловые, Венге, Жемчужные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"1500";"Рулон";"/upload/resize_cache/iblock/569/480_480_240cd750bba9870f18aada2478b24840a/5696fcec88d790daac783a79146f759d.png"
"8670/21";"Sangiorgio";"Romeo & Giulietta";"Италия";"Песочные, Терракотовые, Фиалковые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/42b/480_480_240cd750bba9870f18aada2478b24840a/42bb46891e7d569835d00b8bd9e95a35.png"
"8680/20";"Sangiorgio";"Romeo & Giulietta";"Италия";"Бордовые, Ванильные, Кремовые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Лилии, Орнамент, Узор";"1500";"Рулон";"/upload/resize_cache/iblock/812/480_480_240cd750bba9870f18aada2478b24840a/8121141967e618df3f20ac70156cbe06.png"
