"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"B1180403";"Aura";"Plain Resource 2";"Китай";"Ванильные, Песочные, Розовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Геометрия";"2590";"Рулон";"/upload/resize_cache/iblock/057/480_480_240cd750bba9870f18aada2478b24840a/057b4bf54d79bd0cbbcf25cebd5fc3f9.png"
"B1180501";"Aura";"Plain Resource 2";"Китай";"Бежевые, Жемчужные, Серебристые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Полоска";"2590";"Рулон";"/upload/resize_cache/iblock/d57/480_480_240cd750bba9870f18aada2478b24840a/d57a96be319995749914214dff682228.png"
"B1180502";"Aura";"Plain Resource 2";"Китай";"Бронзовые, Терракотовые, Кремовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Полоска";"2590";"Рулон";"/upload/resize_cache/iblock/578/480_480_240cd750bba9870f18aada2478b24840a/578bb181afb302d21657007ab3761ea2.png"
"B1180404";"Aura";"Plain Resource 2";"Китай";"Ванильные, Кофейные, Кремовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Геометрия";"2590";"Рулон";"/upload/resize_cache/iblock/711/480_480_240cd750bba9870f18aada2478b24840a/7110174992874b683d44b56a2bee3f47.png"
"B1180506";"Aura";"Plain Resource 2";"Китай";"Венге, Болотные, Серебристые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Полоска";"2590";"Рулон";"/upload/resize_cache/iblock/030/480_480_240cd750bba9870f18aada2478b24840a/030bf001a0e8cf38743da1b762a8cc5d.png"
"B1180504";"Aura";"Plain Resource 2";"Китай";"Серые, Голубые, Кофейные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Полоска";"2590";"Рулон";"/upload/resize_cache/iblock/0dc/480_480_240cd750bba9870f18aada2478b24840a/0dc5ae881793e369d0d20f80e1287ff6.png"
"B1180801";"Aura";"Plain Resource 2";"Китай";"Серые, Жемчужные, Кремовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Восточный орнамент, Орнамент, Решетка, Узор";"2590";"Рулон";"/upload/resize_cache/iblock/e02/480_480_240cd750bba9870f18aada2478b24840a/e024b65f1fa2a2821585701da43c68f0.png"
"B1180505";"Aura";"Plain Resource 2";"Китай";"Жемчужные, Коралловые, Песочные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Полоска";"2590";"Рулон";"/upload/resize_cache/iblock/04c/480_480_240cd750bba9870f18aada2478b24840a/04c093f03b704ee2c556b467cb3cb238.png"
"B1180503";"Aura";"Plain Resource 2";"Китай";"Песочные, Шоколадные, Терракотовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Геометрия, Полоска";"2590";"Рулон";"/upload/resize_cache/iblock/bbe/480_480_240cd750bba9870f18aada2478b24840a/bbee82a60aea22c1d947432bb9af1d62.png"
"B1180803";"Aura";"Plain Resource 2";"Китай";"Песочные, Серые, Кремовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Восточный орнамент, Орнамент, Решетка, Узор";"2590";"Рулон";"/upload/resize_cache/iblock/1e4/480_480_240cd750bba9870f18aada2478b24840a/1e4caaf56da3819bce242aa8996b44ec.png"
"B1181101";"Aura";"Plain Resource 1";"Китай";"Розовые, Бежевые, Ванильные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/9e2/480_480_240cd750bba9870f18aada2478b24840a/9e21050c8f45080786e7ca547e335368.png"
"B1180802";"Aura";"Plain Resource 2";"Китай";"Ванильные, Песочные, Венге";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Восточный орнамент, Орнамент, Решетка, Узор";"2590";"Рулон";"/upload/resize_cache/iblock/672/480_480_240cd750bba9870f18aada2478b24840a/67230bfed554cf8c67bf0dc6bd3e290e.png"
"B1180805";"Aura";"Plain Resource 2";"Китай";"Венге, Песочные, Кремовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Восточный орнамент, Орнамент, Решетка, Узор";"2590";"Рулон";"/upload/resize_cache/iblock/a12/480_480_240cd750bba9870f18aada2478b24840a/a1229edac5b3282472a804e42e87cd06.png"
"B1181102";"Aura";"Plain Resource 1";"Китай";"Песочные, Жемчужные, Золотые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/ba3/480_480_240cd750bba9870f18aada2478b24840a/ba3cea6d0b7afa2ecc66a126fdd2cafd.png"
"B1181106";"Aura";"Plain Resource 1";"Китай";"Васильковые, Песочные, Лазурные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/2a2/480_480_240cd750bba9870f18aada2478b24840a/2a29efcd75cbc3ce250530e5c13b38ad.png"
"B1181105";"Aura";"Plain Resource 1";"Китай";"Венге, Кофейные, Бронзовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/2b1/480_480_240cd750bba9870f18aada2478b24840a/2b1c4a5073ab9e075bd0158d064ae840.png"
"B1181107";"Aura";"Plain Resource 1";"Китай";"Серебристые, Сливовые, Фиолетовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/e86/480_480_240cd750bba9870f18aada2478b24840a/e86387d89df2fffe0317b04bda31a33b.png"
"B1181103";"Aura";"Plain Resource 1";"Китай";"Серебристые, Кремовые, Ванильные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/ea4/480_480_240cd750bba9870f18aada2478b24840a/ea4015399adf0487c528f2f5a85fd5c3.png"
"B1181104";"Aura";"Plain Resource 1";"Китай";"Болотные, Оливковые, Серые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/a17/480_480_240cd750bba9870f18aada2478b24840a/a17a6e8f3f3ba5cacacfe12870acba29.png"
"B1181503";"Aura";"Plain Resource 1";"Китай";"Лимонные, Кремовые, Жемчужные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Однотонные";"2590";"Рулон";"/upload/resize_cache/iblock/824/480_480_240cd750bba9870f18aada2478b24840a/824aa26e2f243b8ee4d9cda113c0fce1.png"
"B1181108";"Aura";"Plain Resource 1";"Китай";"Бордовые, Красные, Алые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку";"2590";"Рулон";"/upload/resize_cache/iblock/c52/480_480_240cd750bba9870f18aada2478b24840a/c524192c0b2ae02e3553462795a1c0f1.png"
"B1181506";"Aura";"Plain Resource 1";"Китай";"Желтые, Горчичные, Песочные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку, Текстуры";"2590";"Рулон";"/upload/resize_cache/iblock/675/480_480_240cd750bba9870f18aada2478b24840a/675449e6817ed1d4c8612d097a37a212.png"
"B1181509";"Aura";"Plain Resource 1";"Китай";"Лимонные, Кремовые, Песочные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Однотонные";"2590";"Рулон";"/upload/resize_cache/iblock/563/480_480_240cd750bba9870f18aada2478b24840a/56331969d3c5ce5be67facc6ed268af7.png"
"B1181507";"Aura";"Plain Resource 1";"Китай";"Кремовые, Бежевые, Серебристые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку, Текстуры";"2590";"Рулон";"/upload/resize_cache/iblock/d4d/480_480_240cd750bba9870f18aada2478b24840a/d4d0ee056e3a3e850a747aa7704639fb.png"
"B1181508";"Aura";"Plain Resource 1";"Китай";"Серые, Бирюзовые, Серебристые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Однотонные";"2590";"Рулон";"/upload/resize_cache/iblock/876/480_480_240cd750bba9870f18aada2478b24840a/876e255c2c75bcc0cc7fdbbf69b65173.png"
"B1181510";"Aura";"Plain Resource 1";"Китай";"Лазурные, Синие, Васильковые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Под штукатурку, Текстуры";"2590";"Рулон";"/upload/resize_cache/iblock/600/480_480_240cd750bba9870f18aada2478b24840a/600009c7439ee8e3e8c411bdc0bdb4a7.png"
"B1181702";"Aura";"Plain Resource 2";"Китай";"Песочные, Лиловые, Бежевые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Дамаск";"2590";"Рулон";"/upload/resize_cache/iblock/565/480_480_240cd750bba9870f18aada2478b24840a/565f671926ab31f76c1cadb9d849b5c5.png"
"B1181703";"Aura";"Plain Resource 2";"Китай";"Бронзовые, Коричневые, Венге";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Дамаск";"2590";"Рулон";"/upload/resize_cache/iblock/34c/480_480_240cd750bba9870f18aada2478b24840a/34c704dc8c76b4ff99c6919282645ef6.png"
"B1181701";"Aura";"Plain Resource 2";"Китай";"Венге, Кофейные, Коричневые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Дамаск";"2590";"Рулон";"/upload/resize_cache/iblock/7c3/480_480_240cd750bba9870f18aada2478b24840a/7c3fce59224b06d7d12c0cac2a5527ae.png"
"B1181704";"Aura";"Plain Resource 2";"Китай";"Ванильные, Жемчужные, Шоколадные";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Дамаск";"2590";"Рулон";"/upload/resize_cache/iblock/fea/480_480_240cd750bba9870f18aada2478b24840a/fea895777934c11257a1a23c88b70870.png"
"B1181705";"Aura";"Plain Resource 2";"Китай";"Кремовые, Коралловые, Оранжевые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Дамаск";"2590";"Рулон";"/upload/resize_cache/iblock/948/480_480_240cd750bba9870f18aada2478b24840a/948ac40e5792d1721ac4de111868611a.png"
"B205 полосы";"Brattendorf";"Brattendorf";"Германия";"Белые";"Стеклообои";"Стеклоткань";"1, Метровые, Широкие";"25";"Геометрия, Под ткань, Узор";"1500";"Рулон";"/upload/resize_cache/iblock/861/480_480_240cd750bba9870f18aada2478b24840a/8611e47bbacb1c2e01203b4a1d94d6b9.png"
"B202 ёлка средняя";"Brattendorf";"Brattendorf";"Германия";"Белые";"Стеклообои";"Стеклоткань";"1, Метровые, Широкие";"25";"Геометрия, Узор";"2500";"Рулон";"/upload/resize_cache/iblock/691/480_480_240cd750bba9870f18aada2478b24840a/69140395462be2138089008bf2d5f59f.png"
"B121 рогожка крупная";"Brattendorf";"Brattendorf";"Германия";"Белые";"Стеклообои";"Стеклоткань";"1, Метровые, Широкие";"25";"Под ткань, Рогожка";"2500";"Рулон";"/upload/resize_cache/iblock/36f/480_480_240cd750bba9870f18aada2478b24840a/36f0d5d0a57c0455fb6d5b4bfd4f5eb3.png"
"B201P WA";"Brattendorf";"Brattendorf";"Германия";"Белые";"Стеклообои";"Стеклоткань";"1, Метровые, Широкие";"25";"Геометрия, Под ткань, Узор";"1500";"Рулон";"/upload/resize_cache/iblock/298/480_480_240cd750bba9870f18aada2478b24840a/29828d912c22daa18f62016ff72b437c.png"
"B1181706";"Aura";"Plain Resource 2";"Китай";"Песочные, Лиловые, Розовые";"Флизелиновые";"Флизелин";"0,53, Узкие";"10,05";"Абстракция, Дамаск";"2590";"Рулон";"/upload/resize_cache/iblock/168/480_480_240cd750bba9870f18aada2478b24840a/168eb45ca484ce65ee214aff67e25a5d.png"
"B303 домино";"Brattendorf";"Brattendorf";"Германия";"Белые";"Стеклообои";"Стеклоткань";"1, Метровые, Широкие";"25";"Геометрия, Узор";"250";"Рулон";"/upload/resize_cache/iblock/0a4/480_480_240cd750bba9870f18aada2478b24840a/0a42a490fa49bcf8754c029db7ca1ed3.png"
"B3-272";"Adi / Tekko";"First Class";"Италия";"Серые, Серебристые";"Бумажные";"Бумага";;;"Ромбы, Узор";"1500";"Рулон";"/upload/resize_cache/iblock/f6d/480_480_240cd750bba9870f18aada2478b24840a/f6d8e622d92e401eff6084aa089224b3.png"
"B3-260";"Adi / Tekko";"First Class";"Италия";"Золотые, Желтые, Лимонные";"Бумажные";"Бумага";;;"Ромбы, Узор";"2500";"Рулон";"/upload/resize_cache/iblock/6a7/480_480_240cd750bba9870f18aada2478b24840a/6a77f185e2d880ce940dda996dd8c8c8.png"
"B207 бретань";"Brattendorf";"Brattendorf";"Германия";"Белые";"Стеклообои";"Стеклоткань";"1, Метровые, Широкие";"25";"Геометрия, Узор";"250";"Рулон";"/upload/resize_cache/iblock/de5/480_480_240cd750bba9870f18aada2478b24840a/de5511e2a9545a423e9df85ce983413c.png"
"B306 ромб";"Brattendorf";"Brattendorf";"Германия";"Белые";"Стеклообои";"Стеклоткань";"1, Метровые, Широкие";"25";"Геометрия, Ромбы";"1500";"Рулон";"/upload/resize_cache/iblock/269/480_480_240cd750bba9870f18aada2478b24840a/269dc867e0a17b9c6ceaf23cc21a8846.png"
