"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"55127";"Italreflexes";"Tattoo";"Италия";"Сливовые, Фиалковые, Сиреневые";"Стекляриус / Бисер";"Флизелин";"1, Метровые, Широкие";"10,05";"Вензеля";"18031";"Рулон";"/upload/resize_cache/iblock/85a/480_480_240cd750bba9870f18aada2478b24840a/85a440fd2dc62a8e20fc3d0b5af91f01.png"
"55131";"Italreflexes";"Tattoo";"Италия";"Серебристые, Серые";"Стекляриус / Бисер";"Флизелин";"1, Метровые, Широкие";"10,05";"Вертикальная полоска";"18323";"Рулон";"/upload/resize_cache/iblock/40c/480_480_240cd750bba9870f18aada2478b24840a/40c196e552c28f4211871785f9fdbabe.png"
"55130";"Italreflexes";"Tattoo";"Италия";"Кофейные, Венге, Бронзовые";"Стекляриус / Бисер";"Флизелин";"1, Метровые, Широкие";"10,05";"Вертикальная полоска";"18250";"Рулон";"/upload/resize_cache/iblock/000/480_480_240cd750bba9870f18aada2478b24840a/000b56766babfabb241efd8b626ff66c.png"
"55132";"Italreflexes";"Tattoo";"Италия";"Терракотовые, Венге, Шоколадные";"Стекляриус / Бисер";"Флизелин";"1, Метровые, Широкие";"10,05";"Вертикальная полоска";"18396";"Рулон";"/upload/resize_cache/iblock/e27/480_480_240cd750bba9870f18aada2478b24840a/e27d2f5af9926862963685ecdbae44c6.png"
"55134";"Italreflexes";"Tattoo";"Италия";"Коричневые, Бронзовые, Шоколадные";"Стекляриус / Бисер";"Флизелин";"1, Метровые, Широкие";"10,05";"Вертикальная полоска";"18542";"Рулон";"/upload/resize_cache/iblock/cbd/480_480_240cd750bba9870f18aada2478b24840a/cbd95c9ed7f372d0d9574e5eb1e0c776.png"
"55133";"Italreflexes";"Tattoo";"Италия";"Фиалковые, Сливовые, Сиреневые";"Стекляриус / Бисер";"Флизелин";"1, Метровые, Широкие";"10,05";"Вертикальная полоска";"18469";"Рулон";"/upload/resize_cache/iblock/743/480_480_240cd750bba9870f18aada2478b24840a/7432b06ced1e8331a96cd2ea6aa9d710.png"
"55135";"Italreflexes";"Tattoo";"Италия";"Ванильные, Кремовые, Песочные";"Флизелиновые";"Флизелин";"1, Метровые, Широкие";"10,05";"Однотонные";"9125";"Рулон";"/upload/resize_cache/iblock/459/480_480_240cd750bba9870f18aada2478b24840a/45929d59152df6e4cbc3f16e71e0473d.png"
"55136";"Italreflexes";"Tattoo";"Италия";"Жемчужные, Бежевые, Кремовые";"Флизелиновые";"Флизелин";"1, Метровые, Широкие";"10,05";"Однотонные";"9125";"Рулон";"/upload/resize_cache/iblock/5fb/480_480_240cd750bba9870f18aada2478b24840a/5fb0734688f056e63362e42bf5b0fdc5.png"
"55137";"Italreflexes";"Tattoo";"Италия";"Серебристые, Серые";"Флизелиновые";"Флизелин";"1, Метровые, Широкие";"10,05";"Однотонные";"9125";"Рулон";"/upload/resize_cache/iblock/cd4/480_480_240cd750bba9870f18aada2478b24840a/cd4ace8362a16ad6b9fa682d3a3a9ce5.png"
"ITB002";"Father & Sons";"Pandora";"США";"Лазурные, Васильковые, Синие";"Флизелиновые";;"0,52, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"4818";"Рулон";"/upload/resize_cache/iblock/ca6/480_480_240cd750bba9870f18aada2478b24840a/ca65cd34701f4ccae3dbb50ea04dc21b.png"
"55138";"Italreflexes";"Tattoo";"Италия";"Голубые, Лавандовые";"Флизелиновые";"Флизелин";"1, Метровые, Широкие";"10,05";"Однотонные";"9125";"Рулон";"/upload/resize_cache/iblock/141/480_480_240cd750bba9870f18aada2478b24840a/1410e38dece6e0832bde5d48617f601d.png"
"55140";"Italreflexes";"Tattoo";"Италия";"Фиалковые, Сливовые, Сиреневые";"Флизелиновые";"Флизелин";"1, Метровые, Широкие";"10,05";"Однотонные";"9125";"Рулон";"/upload/resize_cache/iblock/1cc/480_480_240cd750bba9870f18aada2478b24840a/1cc949144e03a7497fd83ada1ea7f4ce.png"
"55141";"Italreflexes";"Tattoo";"Италия";"Бронзовые, Терракотовые, Венге";"Флизелиновые";"Флизелин";"1, Метровые, Широкие";"10,05";"Однотонные";"9125";"Рулон";"/upload/resize_cache/iblock/0b2/480_480_240cd750bba9870f18aada2478b24840a/0b255054158380511b6072b22e821c44.png"
"ITB001";"Father & Sons";"Pandora";"США";"Коричневые, Шоколадные, Бронзовые";"Флизелиновые";;"0,52, Узкие";"10,05";"Восточный орнамент";"5475";"Рулон";"/upload/resize_cache/iblock/524/480_480_240cd750bba9870f18aada2478b24840a/524f56a2b8810c512d0c70e3f73542f2.png"
"ITB003";"Father & Sons";"Pandora";"США";"Жемчужные, Бежевые, Песочные";"Флизелиновые";;"0,52, Узкие";"10,05";"Восточный орнамент";"5475";"Рулон";"/upload/resize_cache/iblock/1db/480_480_240cd750bba9870f18aada2478b24840a/1dba872177f6b088bcc5c785a5cb3506.png"
"ITB004";"Father & Sons";"Pandora";"США";"Бежевые, Ванильные, Жемчужные";"Флизелиновые";;"0,52, Узкие";"10,05";"Восточный орнамент";"5475";"Рулон";"/upload/resize_cache/iblock/d3d/480_480_240cd750bba9870f18aada2478b24840a/d3dbfd613f6d9d709587006e5c1891f3.png"
"ITB006";"Father & Sons";"Pandora";"США";"Серебристые, Серые, Черные";"Флизелиновые";;"0,52, Узкие";"10,05";"Восточный орнамент";"5183";"Рулон";"/upload/resize_cache/iblock/63c/480_480_240cd750bba9870f18aada2478b24840a/63ce31aaa71f177d28c8da39af557eac.png"
"ITB005";"Father & Sons";"Pandora";"США";"Серые, Серебристые";"Флизелиновые";;"0,52, Узкие";"10,05";"Восточный орнамент";"6862";"Рулон";"/upload/resize_cache/iblock/c55/480_480_240cd750bba9870f18aada2478b24840a/c5586620e3c7d48f1a7213e6957c45a1.png"
