"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"33324-2";"A.S. Creation";"Safina";"Германия";"Персиковые, Кремовые, Песочные";"Виниловые";"Флизелин";"1,06, Метровые, Широкие";"10,05";"Вертикальная полоска, Полоска";"2500";"Рулон";"/upload/resize_cache/iblock/eb8/480_480_240cd750bba9870f18aada2478b24840a/eb8c5911d903d79160f3017b71d57b2b.png"
"33324-4";"A.S. Creation";"Safina";"Германия";"Лазурные, Мятные, Серебристые";"Виниловые";"Флизелин";"1,06, Метровые, Широкие";"10,05";"Вертикальная полоска, Геометрия, Полоска";"1500";"Рулон";"/upload/resize_cache/iblock/c88/480_480_240cd750bba9870f18aada2478b24840a/c881ab56199e7a593636d336dc1eb10a.png"
"33324-6";"A.S. Creation";"Safina";"Германия";"Песочные, Персиковые, Лиловые";"Виниловые";"Флизелин";"1,06, Метровые, Широкие";"10,05";"Вертикальная полоска, Геометрия, Полоска";"390";"Рулон";"/upload/resize_cache/iblock/ad4/480_480_240cd750bba9870f18aada2478b24840a/ad42ec34e4edb341a8afcfc397c34030.png"
"33325-1";"A.S. Creation";"Safina";"Германия";"Персиковые, Кремовые, Бежевые";"Виниловые";"Флизелин";"1,06, Метровые, Широкие";"10,05";"Однотонные";"2012";"Рулон";"/upload/resize_cache/iblock/282/480_480_240cd750bba9870f18aada2478b24840a/282b110997bf5e9245d3a002f2db96c1.png"
"33326-2";"Architects Paper";"Alpha";"Германия";"Жемчужные, Ванильные, Серые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Листья, Растительность";"3500";"Рулон";"/upload/resize_cache/iblock/982/480_480_240cd750bba9870f18aada2478b24840a/982d4c7fa2e98acb80c7c149ac6cb1be.png"
"33325-3";"A.S. Creation";"Safina";"Германия";"Бежевые, Песочные, Жемчужные";"Виниловые";"Флизелин";"1,06, Метровые, Широкие";"10,05";"Однотонные";"1500";"Рулон";"/upload/resize_cache/iblock/0ae/480_480_240cd750bba9870f18aada2478b24840a/0ae6b7ad1c8111c704ee83b3d2408980.png"
"33326-4";"Architects Paper";"Alpha";"Германия";"Серые, Серебристые, Лавандовые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Листья, Растительность";"3500";"Рулон";"/upload/resize_cache/iblock/663/480_480_240cd750bba9870f18aada2478b24840a/6639f8458a36252837aee588c3680479.png"
"33326-3";"Architects Paper";"Alpha";"Германия";"Венге, Кремовые, Жемчужные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Листья, Растительность";"3500";"Рулон";"/upload/resize_cache/iblock/04f/480_480_240cd750bba9870f18aada2478b24840a/04f7c039fc2a05ba3474e1ecd309a903.png"
"33326-1";"Architects Paper";"Alpha";"Германия";"Голубые, Лавандовые, Серые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Листья, Растительность";"3500";"Рулон";"/upload/resize_cache/iblock/ca3/480_480_240cd750bba9870f18aada2478b24840a/ca352024863ae4064e8100de08f6cc28.png"
"33325-2";"A.S. Creation";"Safina";"Германия";"Серебристые, Лазурные, Серые";"Виниловые";"Флизелин";"1,06, Метровые, Широкие";"10,05";"Однотонные";"390";"Рулон";"/upload/resize_cache/iblock/6df/480_480_240cd750bba9870f18aada2478b24840a/6df461f5d0faa99da294186a3ce9404b.png"
"33327-2";"Architects Paper";"Alpha";"Германия";"Кремовые, Бежевые, Ванильные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Геометрия";"3500";"Рулон";"/upload/resize_cache/iblock/c07/480_480_240cd750bba9870f18aada2478b24840a/c07684b5ea1347e4dce8b8b0c267da17.png"
"33326-5";"Architects Paper";"Alpha";"Германия";"Серые, Коричневые, Шоколадные";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Листья, Растительность";"3500";"Рулон";"/upload/resize_cache/iblock/9aa/480_480_240cd750bba9870f18aada2478b24840a/9aad64b9697233b92b82ab84bca2590e.png"
"33328-1";"Architects Paper";"Alpha";"Германия";"Песочные, Ванильные, Бежевые";"Флизелиновые";"Флизелин";"0,52, Узкие";"10,05";"Вертикальная полоска, Мелкая полоска, Небрежная полоска, Полоска";"3500";"Рулон";"/upload/resize_cache/iblock/1b7/480_480_240cd750bba9870f18aada2478b24840a/1b7442fcdf80e9b6157a5d3a504d8d4a.png"
