"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"50612 СС";"ProSpero";"Hudson Collection";"США";"Лавандовые, Серебристые, Голубые";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Полоска";"390";"Рулон";"/upload/resize_cache/iblock/f8d/480_480_240cd750bba9870f18aada2478b24840a/f8db39b591098406dc5cf9274eef2dc9.jpg"
"5060";"Parato";"Mirtilla";"Италия";"Жемчужные, Бежевые, Белые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Вензеля, Листья, Цветы";"1500";"Рулон";"/upload/resize_cache/iblock/9f3/480_480_240cd750bba9870f18aada2478b24840a/9f384f8c898190f5e7224ef8194d3450.png"
"5061 JV";"Jannelli & Volpi (J&V)";"J&V 121 Heritage";"Италия";"Венге, Коричневые, Бронзовые";"Виниловые";"Бумага";"0,7, Узкие";"10,05";"Под штукатурку";"390";"Рулон";"/upload/resize_cache/iblock/e6d/480_480_240cd750bba9870f18aada2478b24840a/e6deed4a5c94bb7ba1fbb14eb7e17593.jpg"
"5061";"Parato";"Mirtilla";"Италия";"Белые, Голубые, Лавандовые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Вензеля, Листья, Цветы";"2750";"Рулон";"/upload/resize_cache/iblock/05d/480_480_240cd750bba9870f18aada2478b24840a/05d69a8460a1445e1aab2b6eaf2fbd3d.png"
"5063";"Parato";"Mirtilla";"Италия";"Васильковые, Белые, Лазурные";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Вензеля, Листья, Цветы";"2750";"Рулон";"/upload/resize_cache/iblock/616/480_480_240cd750bba9870f18aada2478b24840a/61660353ed00a4684b8e8c788fb60344.png"
"5065 JV";"Jannelli & Volpi (J&V)";"J&V 121 Heritage";"Италия";"Серебристые, Серые";"Виниловые";"Бумага";"0,7, Узкие";"10,05";"Под ткань";"2500";"Рулон";"/upload/resize_cache/iblock/1b6/480_480_240cd750bba9870f18aada2478b24840a/1b664f44e49fa3787a6c84dc9683b04f.jpg"
"5070 JV";"Jannelli & Volpi (J&V)";"J&V 121 Heritage";"Италия";"Разноцветные";"Виниловые";"Бумага";"1,36";"3";"Орнамент, Под ткань, Узор";"2500";"шт.";"/upload/resize_cache/iblock/b00/480_480_240cd750bba9870f18aada2478b24840a/b00118a968d8cf3ca65216ec781fabea.jpg"
"5062";"Parato";"Mirtilla";"Италия";"Кремовые, Песочные, Бежевые";"Виниловые";"Флизелин";"0,53, Узкие";"10,05";"Вензеля, Листья, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/72c/480_480_240cd750bba9870f18aada2478b24840a/72c82ff721578242dc95788bf75eebd7.png"
"5062 JV";"Jannelli & Volpi (J&V)";"J&V 121 Heritage";"Италия";"Серебристые, Серые";"Виниловые";"Бумага";"0,7, Узкие";"10,05";"Под штукатурку";"2500";"Рулон";"/upload/resize_cache/iblock/7f6/480_480_240cd750bba9870f18aada2478b24840a/7f64897646157e97a130fef65a9f02ee.jpg"
"50701";"Casa Mia";"Opal";"США";"Разноцветные";"Бумажные";"Бумага";"0,52, Узкие";"10,05";"Цветы";"390";"Рулон";"/upload/resize_cache/iblock/559/480_480_240cd750bba9870f18aada2478b24840a/5594232fe92444b856ad54c0cf51da64.png"
